"variety","total_wines","median_price"
"Pinot Noir","10","27"
"Riesling","5","20"
"Chardonnay","5","25"
"Red Blend","4","31"
"Sauvignon Blanc","3","13"
"Merlot","3","27"
"Zinfandel","3","30"
"Cabernet Sauvignon","2","72.5"
"Champagne Blend","2","69"
"Blaufrankisch","1","24"
"Pinot Grigio","1","30"
"Pinot Gris","1","20"
"Prosecco","1","19"
"Rhane-style Red Blend","1","31"
"Rhane-style White Blend","1","24"
"Rhone-style Red Blend","1","27"
"Sangiovese","1","26"
"Tempranillo","1","70"
"Nero d'Avola","1","12"
"Bordeaux-style Red Blend","1","11"
"Chenin Blanc","1",NULL
"G-S-M","1","75"
"Garnacha","1","9"
"Gewurztraminer","1","35"
"Gruner Veltliner","1","22"
"Malbec","1","25"
"Malbec-Syrah","1","12"
